Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
CreateBook,200,250,59,328,"55,42","0,000%","305,81040","35,54","83,02","119,0"
UpdateBook,200,864,333,1091,"178,14","0,000%","119,83223","26,33","41,78","225,0"
GetBookById,200,580,287,819,"120,50","0,000%","104,65725","23,00","19,42","225,0"
Delete,200,704,563,907,"81,37","0,000%","88,37826","2,33","18,30","27,0"
RAZEM,800,600,59,1091,"254,74","0,000%","266,40027","38,76","67,45","149,0"
