Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
CreateBook,200,538,78,1330,"208,71","0,000%","117,09602","22,53","31,79","197,0"
UpdateBook,200,643,29,1336,"208,11","0,000%","95,55662","30,42","33,31","326,0"
GetBookById,200,607,8,1445,"169,93","0,000%","70,24939","22,36","13,03","326,0"
Delete,200,709,35,1426,"189,92","0,000%","78,03355","7,77","16,16","102,0"
RAZEM,800,624,8,1445,"204,47","0,000%","238,66348","55,41","60,42","237,8"
