Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
CreateBook,200,376,247,576,"101,75","0,000%","235,57126","27,38","63,95","119,0"
UpdateBook,200,895,810,945,"38,53","0,000%","145,98540","37,49","50,90","263,0"
GetBookById,200,362,301,444,"39,63","0,000%","258,73221","66,45","48,01","263,0"
Delete,200,471,327,536,"60,18","0,000%","233,91813","6,17","48,43","27,0"
RAZEM,800,526,247,945,"226,57","0,000%","317,33439","52,06","80,34","168,0"
